mRNA,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
TBC1D10C|374403,171.0272348,-0.423430286,0.168545301,-2.51226396,0.011995932,0.035021118
HAL|3034,9.759185572,-0.423722375,0.168952202,-2.507942304,0.012143649,0.035374902
NAV1|89796,1409.788998,-0.424756977,0.124166535,-3.420865181,0.000624223,0.002969364
TM9SF4|9777,9084.35037,-0.425787333,0.074547203,-5.71164731,1.12E-08,2.53E-07
SLC2A14|144195,39.09002703,-0.426347991,0.166849784,-2.555280448,0.010610227,0.031621956
C18orf1|753,738.264638,-0.426544302,0.113237749,-3.766803101,0.000165351,0.000968569
CNIH3|149111,118.2653915,-0.42659796,0.170746472,-2.498429136,0.012474508,0.036154379
RASAL3|64926,260.0623293,-0.426630772,0.150669851,-2.831560325,0.004632149,0.015894961
TAF4|6874,1862.911686,-0.427141312,0.084420076,-5.059712503,4.20E-07,5.67E-06
PRKACB|5567,2127.069591,-0.427169327,0.146462677,-2.91657462,0.003538981,0.012671895
MFSD4|148808,542.8684938,-0.427653187,0.174014064,-2.457578301,0.013987731,0.039626952
PCDH17|27253,307.1421997,-0.427714357,0.128282247,-3.334166386,0.000855555,0.003857809
GPSM3|63940,726.7209708,-0.427725446,0.109021032,-3.923329645,8.73E-05,0.00055957
ARMC2|84071,122.940799,-0.428099088,0.137575163,-3.111746905,0.001859839,0.007472987
TMOD2|29767,403.7161392,-0.42829372,0.130570157,-3.280180794,0.001037406,0.004530777
NHLRC4|283948,23.90627746,-0.428352725,0.125116209,-3.42363894,0.000617887,0.002944827
APOB48R|55911,2280.404001,-0.428494073,0.156106235,-2.744887633,0.006053162,0.019890097
EID3|493861,22.77680903,-0.429309507,0.10479837,-4.096528455,4.19E-05,0.000299322
YPEL3|83719,1236.415715,-0.429347538,0.112837591,-3.805004461,0.000141802,0.00084979
CTNNBL1|56259,3227.567941,-0.429454468,0.077206349,-5.562424215,2.66E-08,5.30E-07
LILRB1|10859,181.2990299,-0.429643275,0.180486735,-2.380470091,0.017290565,0.047230803
KLHL3|26249,269.6416465,-0.429824534,0.168192422,-2.555552315,0.010601942,0.031601974
